akrobatesch,ADJ
Akrobatik,W
Akrobatin,W
Akt,M
Akt,M
Akt,M
Akt,M
Aktie,W
Aktiecours,M
Aktiegesellschaft,W
Aktinium,M
Aktionär,M
Aktionärin,W
Aktionärsversammlung,W
Aktioun,W
Aktioun,W
Aktiounsplang,M
Aktiounsprogramm,M
aktiv,ADJ
aktiv,ADJ
Aktiv,M
aktivéieren,"VRB, HV hunn"
Aktivismus,M
Aktivist,M
Aktivistin,W
Aktivitéit,W
aktualiséieren,"VRB, HV hunn"
Aktualiséierung,W
Aktualitéit,W
aktuell,ADJ
Akupunktur,W
akustesch,ADJ
Akustik,W
akut,ADJ
Akzent,M
akzeptabel,ADJ
Akzeptanz,W
akzeptéieren,"VRB, HV hunn"
al,ADJ
al,ADV
aläert,ADJ
alafen,"VRB, HV sinn"
Alarm,M
Alarmanlag,W
alarmant,ADJ
Alarmbereetschaft,W
alarméieren,"VRB, HV hunn"
alauden,"VRB, HV hunn"
Albaach,W
Albaner,M
Albanerin,W
albanesch,ADJ
Albanien,S
Album,M
Aldringer,M
aleeden,"VRB, HV hunn"
Aleedung,W
aleeën,"VRB, HV hunn"
Aleft,S
Aleft,S
aléisen,"VRB, HV hunn"
aleng,ADJ
aleng,ADV
alenken,"VRB, HV hunn"
Alert,W
Alerte,W
alertéieren,"VRB, HV hunn"
Al-Esch,S
Al-Esch,S
Alg,W
algeeresch,ADJ
Algeerier,M
Algeerierin,W
Algerien,S
Alias,M
Alibi,M
aliewen,"VRB, HV hunn"
aliichten,"VRB, HV hunn"
Alimentatioun,W
Alimenten,M
Alimenter,M
aliwweren,"VRB, HV hunn"
Alkalimetall,S
Alkohol,M
Alkohol,M
Alkoholiker,M
Alkoholikerin,W
alkoholiséiert,ADJ
Alkoholismus,M
Alkoholkontroll,W
Alkoholsucht,W
Alkoholtest,M
All,M
All,MS
all,PRON
Alldag,M
alldeeglech,ADJ
Allee,W
alleguer,PRON
alleguerten,PRON
allem,PRON
allen,PRON
Allënster,S
Allënster,S
aller,PRON
allerbescht,ADJ
Allerbuer,S
Allerbuer,S
Allerburren,S
Allerburren,S
allerdéngs,ADV
alleréischt,ADJ
Allergeen,M
Allergen,M
allergesch,ADJ
Allergie,W
Allergiker,M
Allergikerin,W
Allergolog,M
Allergologie,W
Allergologin,W
allerhand,ADJ
Allerhellegen,S
